Probecard,Freq1,Freq2,PRR_record,Temp_coeff,Test_time,Power_supply,Propagation_delay,Rise_time,Fall_time,Resistance,Functional
PC01,11.89,15.9,1121,23.8,2.37,15.3,2.95,300,200,1.331,-286.109
PC01,11.81,16.47,1121,23.7,2.75,15.27,2.4,299,200,1.276,-292.835
PC01,12.85,17.15,1121,24.2,3.27,15.57,3.24,300,201,1.24,-261.09
PC01,13.04,16.11,1121,24.1,3.04,16,3.27,300,199,1.234,-269.081
PC01,11.52,15.63,1121,23,1.94,14.55,2.11,298,199,1.146,-323.661
PC01,10.96,13.02,1121,21.6,0.5,13.43,0.77,298,198,1.241,-389.826
PC01,10.62,14.78,1121,22.1,0.98,14,1.09,298,198,0.988,-369.366
PC01,13.55,17.52,1121,25.2,3.85,16.4,4.23,300,202,1.537,-220.068
PC01,11.17,15.2,1121,22.7,1.44,14.59,1.96,300,199,1.205,-340.762
PC01,13.04,18.11,1121,24.8,4.02,16.21,4.15,301,201,1.339,-237.646
PC01,12.12,15.91,1121,23.6,2.61,14.92,2.67,299,199,1.559,-292.918
PC01,13.46,17.36,1121,25.2,4.06,16.78,3.72,301,202,1.408,-226.11
PC01,11.04,15.55,1121,23,2.23,14.82,2.27,299,200,1.217,-315.815
PC01,10.62,14.68,1121,22.6,1.44,13.86,2.12,298,198,1.112,-337.468
PC01,12.01,15.35,1121,22.8,1.55,14.11,1.71,299,199,1.277,-341.644
PC01,11.87,15.47,1121,23.8,2.95,15.8,2.5,300,200,1.111,-293.914
PC01,12.86,16.62,1121,24.4,3.13,15.36,3.11,301,201,1.536,-259.863
PC01,10.04,14.72,1121,21.5,1,13.81,1.14,298,199,1.184,-388.496
PC01,12.5,15.31,1121,24,2.58,14.73,2.77,300,200,1.315,-289.102
PC01,13.44,17.05,1121,24.7,3.77,16.29,3.71,301,201,1.546,-239.582
PC01,10.8,15.74,1121,22.9,1.94,14.44,1.72,299,200,1.257,-332.855
PC01,11.29,16.26,1121,23.7,2.34,15.19,2.61,299,199,1.246,-296.443
PC01,12.26,16.7,1121,24.5,3.25,15.72,3.4,300,201,1.493,-253.331
PC01,11.44,15.62,1121,23.6,2.43,14.99,2.63,300,200,1.457,-296.953
